sensorMov,hora,dia,dia_semana,sensorLDR,lamp
0,00:55:35,21-09-18,5,747[58],lamp
0,00:55:35,21-09-18,5,750[59],lamp
0,00:55:35,21-09-18,5,746[60],lamp
0,00:55:35,21-09-18,5,746[61],lamp
0,00:55:35,21-09-18,5,747[62],lamp
0,00:55:36,21-09-18,5,745[63],lamp
0,00:55:36,21-09-18,5,743[64],lamp
0,00:55:36,21-09-18,5,746[65],lamp
1,00:55:36,21-09-18,5,748[66],lamp
0,00:55:37,21-09-18,5,742[67],lamp
1,00:55:37,21-09-18,5,746[68],lamp
1,00:55:37,21-09-18,5,747[69],lamp
0,00:55:37,21-09-18,5,742[70],lamp
1,00:55:38,21-09-18,5,747[71],lamp
0,00:55:38,21-09-18,5,747[72],lamp
0,00:55:38,21-09-18,5,743[73],lamp
1,00:55:38,21-09-18,5,745[74],lamp
1,00:55:39,21-09-18,5,747[75],lamp
1,00:55:39,21-09-18,5,745[76],lamp
0,00:55:39,21-09-18,5,745[77],lamp
0,00:55:39,21-09-18,5,748[78],lamp
1,00:55:40,21-09-18,5,746[79],lamp
0,00:55:40,21-09-18,5,747[80],lamp
0,00:55:40,21-09-18,5,749[81],lamp
0,00:55:40,21-09-18,5,745[82],lamp
0,00:55:41,21-09-18,5,746[83],lamp
0,00:55:41,21-09-18,5,749[84],lamp
1,00:55:41,21-09-18,5,744[85],lamp
1,00:55:41,21-09-18,5,744[86],lamp
1,00:55:42,21-09-18,5,747[87],lamp
1,00:55:42,21-09-18,5,741[88],lamp
0,00:55:42,21-09-18,5,747[89],lamp
1,00:55:42,21-09-18,5,749[90],lamp
1,00:55:43,21-09-18,5,745[91],lamp
1,00:55:43,21-09-18,5,746[92],lamp
1,00:55:43,21-09-18,5,749[93],lamp
1,00:55:44,21-09-18,5,742[94],lamp
1,00:55:44,21-09-18,5,747[95],lamp
1,00:55:45,21-09-18,5,747[96],lamp
1,00:55:45,21-09-18,5,740[97],lamp
1,00:55:46,21-09-18,5,746[98],lamp
1,00:55:46,21-09-18,5,750[99],lamp
1,00:55:47,21-09-18,5,746[100],lamp
0,00:55:48,21-09-18,5,748[101],lamp
1,00:55:48,21-09-18,5,743[102],lamp
1,00:55:49,21-09-18,5,744[103],lamp
1,00:55:49,21-09-18,5,747[104],lamp
1,00:55:50,21-09-18,5,747[105],lamp
1,00:55:50,21-09-18,5,745[106],lamp
1,00:55:51,21-09-18,5,745[107],lamp
1,00:55:51,21-09-18,5,747[108],lamp
0,00:55:52,21-09-18,5,748[109],lamp
